title,abstract,link,assigned_category,assigned_score,rule_category,rule_reason,pub_date,source,score_CO₂光转化,score_CO₂热转化,score_CO₂电转化,score_CO₂矿化,score_CO₂生物转化,score_CO₂捕集与分离,score_CO₂运输与封存,score_系统集成与工艺耦合,score_能源经济与LCA,score_政策与产业化
Looping-accelerated CO2 Mineralization for Cost-competitive Cementitious Materials and Hydrogen,"Advancing a net-negative carbon economy requires efficient and cost-effective CO2 capture and utilization methods. Here, we introduce a novel sodium carbonate (Na2CO3) looping process that accelerates CO2 capture and mineralization by silicate feedstocks such as steel slags, producing a carbonate-rich product and amorphous silica as cementitious materials. Unlike conventional direct or acid-assisted mineralization, our chemical looping approach first carbonates the silicate using a Na2CO3 solution. The same solution then reactively captures CO2 and precipitates high-purity, (sub)micron-sized amorphous silica, while simultaneously regenerating the Na2CO3. Demonstrated on steel slags, the process achieved 59% and 35% capture for point-source and air CO2, respectively, mineralizing to up to 2.79 mmol-C g-1 slag. Compared to traditional slag-water CO2 mineralization, Na2CO3 looping captured and mineralized 4 to 9 times more CO2. Mechanistically, Na2CO3 looping accelerates mineralization by rapidly removing Ca via carbonate precipitation, thereby sustaining a strong thermodynamic driving force for continued Ca–silicate dissolution, which governs the overall carbonation rate. The process offers several key advantages and novelties: (1) no net chemical consumption due to complete Na2CO3 regeneration; (2) CO2 capture and mineralization occur at room temperature and 1 atm; (3) the CO2 source can be either point source or ambient air; (4) both the carbonation and reactive capture steps are exothermic, lowering system energy demand and eliminating external heat input; and (5) two cementitious products—carbonate-rich solids and amorphous silica—are generated separately, enabling flexible blending in downstream applications. Additionally, utilization of slag waste heat enables reaction with steam to produce up to 1.01 mmol-H2 g-1 slag. Without product revenues, levelized costs are only $252 and $50 per ton of CO2 for air and point-source capture, respectively; considering product revenues, the payback periods are only 1.9 and 0.8 for air and point-source CO2.",http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE07347B,CO₂捕集与分离,0.6312474608421326,CO₂捕集与分离,capture_separation_keywords,,,0.39757683873176575,0.44866812229156494,0.3940959572792053,0.6312474608421326,0.38769465684890747,0.4497213363647461,0.2483433336019516,0.4045828878879547,0.2729945182800293,0.2951454520225525
Unveiling Direct and Indirect Pathways of Electrochemical CO2 Reduction in Amine‐Based Carbon Capture Electrolytes,"Investigating the origins of carbon sources and mechanistic pathways in the electrochemical conversion of CO2 from carbon capture electrolyte is essential for the rational design, optimization, and scale-up of reactive carbon capture processes; however, these mechanisms still remain inadequately understood. Therefore, clarifying the carbon source and reaction pathway is vital for efficient electrochemical CO2 conversion in carbon capture electrolyte. In this study, in situ/operando attenuated total reflection surface-enhanced infrared absorption spectroscopy (ATR-SEIRAS), surface-enhanced Raman spectroscopy (SERS), and online differential electrochemical mass spectrometry (DEMS) are employed to identify (carbon sources) and elucidate reaction pathways during the electrochemical reduction of amine-CO2 capture electrolyte. In electrolytes containing primary and secondary amines, CO2 is captured to form carbamates (R1R2NCOO-). These carbamates serve as key electrochemically active species during the electrochemical reduction process, which are directly reduced to carbon monoxide via a direct pathway. In electrolytes containing tertiary or sterically hindered amines, CO2 is captured to form bicarbonate (HCO3 -). This bicarbonate then undergoes an indirect reduction pathway: it first releases CO2 in situ at the electrode surface. This released CO2 acts as the primary reactive intermediate and is subsequently reduced to carbon monoxide. Notably, in both direct and indirect pathways, protonated amines serve as the primary proton source for the hydrogen evolution reaction (HER). This study employs multiple in situ/operando experimental techniques to demonstrate how different types of amines influence electrochemically active species and pathways during electrochemical reduction in carbon capture electrolyte. The findings provide deeper and novel insights into the mechanism of amine-based reactive carbon capture, providing guidance for optimizing dual-functional electrolytes, electrocatalysts, and reactor designs in reactive carbon capture.",https://onlinelibrary.wiley.com/doi/10.1002/anie.202521624?af=R,CO₂电转化,0.6059163212776184,CO₂电转化,conversion_route_priority,,,0.5068836808204651,0.3247503638267517,0.5323593616485596,0.35780569911003113,0.39216911792755127,0.6059163212776184,0.21420569717884064,0.4010399580001831,0.22472073137760162,0.182473823428154
[ASAP] Sustainable and Efficient Bicarbonate Electrolysis via Enhanced CO2 and Cation Availability on a Gas–Water Dual-Permeable Electrode,"The electrochemical conversion of cost-effective bicarbonates into industrially relevant chemicals offers a sustainable, low-carbon-footprint alternative to feedstock production using renewable electricity. However, its performance is limited by low CO2 concentrations at catalyst surfaces and harsh acidic conditions that promote the hydrogen evolution reaction and catalyst degradation. In this study, we developed a robust ionomer-inorganic nanoparticle (NP) composite coating (5-15 μm Nafion-SiC NPs), positioned between the catalyst and bipolar membrane, enabling efficient dual-permeability of gaseous CO2 and liquid electrolyte to promote bicarbonate electrolysis over extended operation. Specifically, the Nafion perfluorocarbon chains on the assembled Nafion-SiC NPs interconnect to form a continuous aerophilic network that facilitates CO2 diffusion. Simultaneously, the interparticle voids between NPs provide hydrophilic pathways that permit efficient electrolyte transport. This prepared stratified electrode increases local CO2 concentration to 75% saturation and enriches K+ availability at electrocatalyst surfaces at cathodic potentials during bicarbonate electrolysis. Experiments validate a high CO2 permeance of ∼0.008 cm3 cm-2 s-1 cmHg-1 and a low ionic resistance of ∼0.85 Ω cm2 for the composite coating under wet conditions. Crucially, the electrically insulating Nafion-SiC NPs resist electric-field-induced K+ penetration to ensure long-term hydrophobicity and stable gas transport. This system achieved sustained bicarbonate-to-CO electrolysis over 1100 h with an 84-88% Faradaic efficiency and a 35.8% energy efficiency at 100 mA cm-2. Extending this gas-liquid dual-permeable coating strategy to Bi- and Sn-based electrodes enhanced bicarbonate-to-formate electroreduction, highlighting the generalizability of this gas-liquid dual-permeable design for advancing heterogeneous electrolysis at triple-phase interfaces.",http://dx.doi.org/10.1021/jacs.5c20900,CO₂电转化,0.5425222516059875,CO₂电转化,conversion_route_priority,,,0.32561418414115906,0.24212217330932617,0.5425222516059875,0.3341446816921234,0.2660541236400604,0.4308604598045349,0.227060467004776,0.32238566875457764,0.19915980100631714,0.17354057729244232
(Poly)Borylated Species as Modern Reactive Groups toward Unusual Synthetic Applications,"Abstract (Poly)borylated species, molecules bearing multiple carbon–boron groups, have emerged as powerful building blocks in modern synthetic chemistry owing to their rich, tunable reactivity. Their distinctive steric and electronic properties, together with their ability to participate in both ionic and radical pathways, make them uniquely versatile synthons for the selective construction of carbon─carbon and carbon─heteroatom bonds. These frameworks provide strategic opportunities for late‐stage functionalization and the assembly of architecturally complex molecules. This review highlights recent advances in the chemistry of (poly)borylated compounds, particularly molecules bearing multiple boron substituents on a single carbon site, with emphasis on their anionic, cationic, radical, alkene, 1,2‐diradical, and carbene‐based variants. It underscores the synergistic behavior of these multiple boron‐substituted reactive carbon‐centered intermediates and the diverse functionalization of C─metalloid bonds. Key reactivity modes are examined across structural classes such as gem ‐diborylalkanes, gem ‐diborylalkenes, 1,1,2‐polyborylated systems, and emerging tri‐ and tetra‐borylated frameworks. Central transformations include transition‐metal‐catalyzed cross‐couplings, stereoselective transmetalation and functionalizations, addition reactions, and polymerizations, along with boron‐masking, boron‐retentive, and boron‐eliminative strategies. Furthermore, alkylations, radical‐mediated reactions, and energy‐transfer photocatalysis pathways are critically discussed. By elucidating the mechanistic principles and synthetic potential of (poly)borylated species, this review aims to provide a unified framework to better understand their reactivity and to highlight the significant advances made since 2019 at the interface of organoboron chemistry, catalysis, and advanced materials science.",https://onlinelibrary.wiley.com/doi/10.1002/anie.202520748?af=R,其他,0.24370349943637848,,,,,0.24370349943637848,0.21828670799732208,0.2335806041955948,0.21384696662425995,0.1445961743593216,0.1756410300731659,0.10999631881713867,0.13348600268363953,0.11433906108140945,0.12501099705696106
"Gene duplication, horizontal gene transfer, and trait trade-offs drive evolution of postfire resource acquisition in pyrophilous fungi","Wildfires significantly alter soil carbon (C) and nitrogen (N), reducing microbial richness and biomass, while selecting for “fire-loving” pyrophilous microbes that drive postfire nutrient cycling. However, the genomic strategies and functional trade-offs (balancing gains in one trait with costs in another) underlying the traits that enable pyrophilous microbes to survive and thrive postfire are virtually unknown. We hypothesized that pyrophilous fungi employ specialized genomic adaptations for C and N cycling, with evolutionary trade-offs between traits governing aromatic C degradation, N acquisition pathways, and rapid growth. To test these hypotheses, we performed complementary comparative genomics, transcriptomics after pyrogenic organic matter amendment, and growth rate bioassays for 18 pyrophilous fungi from five Ascomycota (Eurotiales, Pleosporales, Sordariales, Coniochaetales, and Pezizales) and three Basidiomycota (Agaricales, Holtermanniales, and Geminibasidiales) orders isolated from burned soils. We found a dramatic trait trade-off between fast growth and number of genes responsible for aromatic C degradation, implying burned environments select for metabolically costly genes despite their evolutionary cost. We used the comparative genomics framework to evaluate genomic signatures of evolution and found that either gene duplication and somatic mutation, or recombination via sexual reproduction, were the primary drivers of fungal genomic variation in aromatic C degradation and N acquisition genes. Finally, we identified cross-kingdom bacterial to fungal horizontal gene transfer (HGT) as a secondary strategy producing novel aromatic C degradation genes. Overall, we found that trait trade-offs and genome evolutionary strategies are key drivers that may predict the persistence and contribution of pyrophilous fungi to global C and N cycling.",https://www.pnas.org/doi/abs/10.1073/pnas.2519152123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,其他,0.2952836751937866,,,,,0.05537516996264458,0.15935733914375305,0.03107214905321598,0.1691121757030487,0.2952836751937866,0.1660727858543396,0.14859434962272644,0.08055032789707184,0.20168261229991913,0.18867871165275574
[ASAP] Collective Total Synthesis of 12 C4-Oxygenated Cladiellins and Structure Elucidation of Cladieunicellin D and Cladielloides A/C,"Cladiellins are a group of marine natural products found in octocorals inhabiting Indo-Pacific reefs, and some members exhibit medically relevant biological activity. The 6/5/9-membered tricyclic ring skeleton of cladiellins comprises hydroisobenzofuran and oxonane moieties, and possesses three one-carbon branches and one three-carbon branch. Unsaturation and oxygenation at various positions endow structural diversity to this family; however, C4-oxygenated cladiellins are rare. Among these unusual structural features, the conformationally variable 9-membered ring presents an uncommon and formidable challenge for both NMR-based structure determination and chemical synthesis. Herein, we report the collective total synthesis of 12 structurally diverse C4-oxygenated cladiellins, 10 of which were chemically constructed for the first time. In addition, we revised the proposed structures of cladieunicellin D and cladielloide A, and established the previously unknown stereochemistry of cladielloides A/C. To accomplish this multifaceted endeavor, the project was divided into three parts. In the first part, we deduced the most likely stereoisomers of the three structurally ambiguous cladiellins from DP4+ probability analyses. In the second part, a common tricycle was assembled by a radical-polar crossover reaction of α-alkoxyacyl telluride with a 6-membered ring and an aldehyde, a reductive etherification reaction of a 5-membered ring, and a ring-closing metathesis reaction of a 9-membered ring. In the third part, the tricycle was systematically derivatized into 12 cladiellins by devising a series of selective transformations. The described results underscore the importance of designing an advanced common intermediate for collective total synthesis and combining density functional theory (DFT) calculations and syntheses for efficient structure elucidation.",http://dx.doi.org/10.1021/jacs.5c19112,其他,0.29803597927093506,,,,,0.19485290348529816,0.19723336398601532,0.2132568359375,0.23377293348312378,0.29803597927093506,0.16233745217323303,0.22062721848487854,0.16767919063568115,0.11004411429166794,0.07230668514966965
[ASAP] Upgrading CO2 and H2O to Analytical-Grade Propanal via an Electrocatalysis–Thermal Catalysis Relay on Single-Atom Catalysts,"Sustainable synthesis of analytical-grade propanal from CO2 and H2O via an electro-thermal cascade process is highly attractive but remains challenging due to the limited selectivity of CO2 electroreduction to gaseous products (CO/C2H4) and the sluggish kinetics of the subsequent thermal catalytic step at ambient pressure. In this work, we demonstrate a new pathway for the direct synthesis of purification-free analytical-grade propanal via electroreduction-hydroformylation cascade conversion of CO2 and H2O over rationally designed single-atom catalysts (SACs). The Sn1Cu single-atom alloy (SAA) catalyst exhibits an exceptional potential-dependent CO2 electroreduction selectivity toward C2H4 and CO, with the C2H4 to CO ratio increasing by 2 orders of magnitude in the potential range from -0.6 to -2.3 V (vs RHE). Results from in situ/operando characterizations and density functional theory (DFT) calculations reveal that the enhanced ethylene selectivity over Sn1Cu SAA arises from the high *CO coverage generated over a single-Sn-atom-modified Cu site, which promotes the symmetric *CO-*CO coupling, thereby significantly enhancing the electrochemical CO2 reduction to ethylene. The resulting C2H4/CO/H2 mixture is directly converted in a fixed-bed hydroformylation reactor over a triphenylphosphine-modified Rh SAC (PPh3-Rh1/ZnO), achieving an optimized ethylene-to-propanal selectivity of up to 98%. Analytical-grade propanal (∼99%) is obtained without further purification, and stable production was maintained for 200 h with a maximum C3H6O rate of 3.8 mg h-1 cm-2 under ambient pressure. This work establishes a general framework for integrating electrochemical and thermal catalysis to convert CO2 and H2O into value-added aldehydes, offering a sustainable route for synthesizing value-added chemicals from basic feedstocks.",http://dx.doi.org/10.1021/jacs.5c22374,CO₂电转化,0.5699537992477417,CO₂电转化,conversion_route_priority,,,0.4852561354637146,0.44667860865592957,0.5699537992477417,0.29930856823921204,0.33520516753196716,0.3728850781917572,0.1848573088645935,0.3435313105583191,0.2368847280740738,0.19629240036010742
[ASAP] Using Mechanochemistry to Activate Poly(vinyl chloride) as a Mechanotunable Brønsted-Acid-Releasing Reagent for Organic Synthesis,"Mechanical force has the potential to activate thermodynamically and chemically stable molecules, enabling unique reactions to proceed with lower activation energies compared to those of conventional thermal activation pathways. However, the practical utility of such force-driven transformations in synthetic chemistry remains to be demonstrated. In this study, we developed a mechanochemical strategy for the facile activation of poly(vinyl chloride) (PVC), a stable plastic material, as a convenient and practical hydrochloric acid (HCl)-releasing reagent. Although HCl can be generated from PVC via thermal decomposition processes, elevated temperatures (>250 °C) are required, which restrict their practical applications in chemical synthesis. In contrast, our mechanochemical approach leverages the mechanical energy generated via ball milling to induce the homolytic cleavage of the polymer chains, producing HCl under mild conditions. Preliminary calculations support that our proposed force-induced mechanoradical-related mechanism generates HCl with lower activation energies than thermal activation. Inspired by this finding, we demonstrate the applicability of PVC as a mechanotunable Brønsted-acid-releasing reagent to facilitate direct SN1-type substitution reactions of allylic and benzylic alcohols with electron-rich (hetero)aromatics, amines, and alcohols as nucleophiles under mild, solvent-free, and moisture-tolerant mechanochemical conditions. Moreover, these reactions proceeded efficiently using PVC-based plastic waste, such as PVC tubing. Beyond the immediate utility of this protocol, this work can be expected to inspire the development of mechanochemical approaches to activate stable, abundant commodity plastic materials for their valorization as chemical reagents in the synthesis of high-value molecules.",http://dx.doi.org/10.1021/jacs.5c20376,其他,0.28709277510643005,,,,,0.2788200080394745,0.28709277510643005,0.1826436072587967,0.1879710704088211,0.17984716594219208,0.16531333327293396,0.037543874233961105,0.11820144206285477,0.09191808849573135,0.05527111142873764
[ASAP] Confined Water in Metal-Doped Covalent Organic Frameworks for Enhanced Physisorptive Carbon Capture under Wet Conditions,"Unlike amine-based CO2 chemisorption, where water can enhance amine utilization efficiency, physisorptive CO2 capture is typically impeded by water owing to its large dipole moment and competitive adsorption behavior. Converting water into additional adsorptive sites for CO2 adsorption in physisorption is promising, yet still nascent and elusive. Herein, we report a strategy that exploits confined water to achieve efficient CO2 capture, even under high relative humidity (RH) conditions, in metal-ion-doped covalent organic frameworks (COFs). By activation at different temperatures, water exhibiting Lewis acidic properties can be formed within metal-ion-doped COFs, thereby further enhancing CO2 adsorption. The dry CO2 uptake of NUS-42-NiCl2 nearly doubles at 800 mmHg and 298 K compared to pristine NUS-42 after activation at 323 K. In situ X-ray diffraction (XRD), solid-state 1H magic angle spinning nuclear magnetic resonance spectroscopy (ss 1H MAS NMR), and in situ diffuse reflectance infrared Fourier transform spectroscopy (DRIFTS) confirm the formation of Lewis-acid-water. Furthermore, control over pore size and metal-ion loading is shown to be critical for generating the Lewis-acid-water. Combined in situ DRIFTS, electron spin resonance (ESR), X-ray absorption spectroscopy (XAS), and density functional theory (DFT) calculations elucidate the role of Lewis-acid-water in producing moisture-enhanced and inflectional CO2 adsorption isotherms. Multicomponent dynamic column breakthrough experiments further demonstrate significantly improved CO2 uptake after moisture presaturation up to 75% RH. These findings offer a systematic and innovative approach for converting water into CO2 adsorption sites, thereby addressing the challenge of competitive water adsorption during physisorptive carbon capture.",http://dx.doi.org/10.1021/jacs.5c19317,CO₂捕集与分离,0.545212984085083,CO₂捕集与分离,capture_separation_keywords,,,0.3975440263748169,0.35139456391334534,0.3878364562988281,0.3487241566181183,0.33554404973983765,0.545212984085083,0.2793922424316406,0.27085110545158386,0.2591460943222046,0.23369631171226501
[ASAP] Torsional Flexibility Tuning of Hexa-Carboxylate Ligands to Unlock Distinct Topological Access to Zirconium Metal–Organic Frameworks,"Zirconium-based metal-organic frameworks (Zr-MOFs) exhibit remarkable structural diversity and functionality. However, uncovering new topological types within this family remains a considerable challenge today. Herein, we report two new hexa-topic ligands designed through the introduction of torsional flexibility, which enable the construction of two Zr-MOFs featuring rare network topologies. The (4,4',4″,4‴,4‴',4‴''-((2-carboxybenzene-1,3,5-triyl)tris(9H-carbazole-9,3,6-triyl))hexabenzoic acid ligand (BTCH)) was obtained by replacing the rigid triptycene core in the H6PET-1 ligand (4,4',4″,4‴,4‴',4‴''-(9,10-dihydro-9,10-[1,2]benzenoanthracene-2,3,6,7,14,15-hexayl)hexabenzoic acid) with a benzene-tricarbazole unit. Owing to its torsionally flexible core that allows rotational freedom to the arms, this ligand directs the construction of NU-2620 (NU represents Northwestern University), a Zr-MOF with 8-connected Zr6 clusters and the rare nuh topology. Further flexibilization of the carbazole units to benzene rings yielded the even more torsionally flexible 5',5‴-bis(4-carboxyphenyl)-5″-(4,4″-dicarboxy-[1,1':3',1″-terphenyl]-5'-yl)-[1,1':3',1″:3″,1‴:3‴,1‴'-quinquephenyl]-4,4‴'-dicarboxylic acid ligand (CCTT), which forms NU-2630 featuring 6-connected clusters and the pcu topology. Both frameworks exhibit good chemical stability, prompting evaluation of their performance in CO2 photoreduction catalysis. Under low-concentration CO2 conditions, NU-2620 displays markedly higher catalytic activity than its benzene-based analogue, NU-2630, thanks to the abundance of photoactive carbazole units within its structure. These results demonstrate that introducing torsional flexibility in high-connected linkers can unlock access to new topologies and accelerates the reticular expansion of Zr-MOFs.",http://dx.doi.org/10.1021/jacs.5c19258,CO₂光转化,0.25003471970558167,CO₂光转化,mof_cof_photo_route_keywords,,,0.1759442836046219,0.12753959000110626,0.16747836768627167,0.16081178188323975,0.08550114184617996,0.25003471970558167,0.10201237350702286,0.09627251327037811,0.03194885328412056,0.0680139884352684
