title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,title_zh,abstract_zh
Robust dispatch of multi-electrolyzer systems for renewable energy hydrogen production under wind forecast uncertainty,https://www.sciencedirect.com/science/article/pii/S0306261926001352?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,在风预报不确定的情况下强有力地为可再生能源氢氢生产发送多电子化器系统,
Towards net-zero power in western India by 2050: Modeling nuclear and BESS expansion under regional policy constraints,https://www.sciencedirect.com/science/article/pii/S0301421526000996?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,到2050年实现印度西部净零电力净零电力:在区域政策制约下模拟核扩张和BESS扩展,
Quantum-resistant homomorphic encryption for privacy-preserving demand flexibility and grid modernization: A systematized review,https://www.sciencedirect.com/science/article/pii/S0306261926001716?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,"为维护隐私保持需求灵活性和电网现代化采用量抗量同质加密,以保持需求灵活性和电网现代化:系统化审查",
A review of AIoT-enabled cyber-physical systems in building energy management: towards intelligent operation,https://www.sciencedirect.com/science/article/pii/S0306261926001340?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,审查在建设能源管理:实现智能操作方面使用AIOT驱动的网络物理系统,
Integrating contextual knowledge into volt/Var control of distribution networks: a large language model-driven fuzzy inference and model predictive control approach,https://www.sciencedirect.com/science/article/pii/S0306261926001339?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,将背景知识纳入分配网络的伏/伏控制:大型语言模型驱动的模糊模糊推断和模型预测控制方法,
Understanding Flemish apartment owners’ financial decision-making in collective energy renovations: a qualitative vignette study,https://www.sciencedirect.com/science/article/pii/S0301421526000789?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,了解佛兰德公寓业主在集体能源翻新方面的财务决策:质优研究,
Improving the simulation-based optimization in the REMod model to deal with complexity in energy system modeling,https://www.sciencedirect.com/science/article/pii/S0306261926001558?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,"改进REMod模型的模拟优化,以应对能源系统建模的复杂性",
Corrigendum to “Domestic energy managers and their implications for future smart grids” [Energy Pol. 206 (2025) 114772],https://www.sciencedirect.com/science/article/pii/S0301421526000881?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,“国内能源管理者及其对未来智能电网的影响”的更正[能源Pol.206 (2025) 114772],
Are the public ready to bear the costs of phasing out coal-fired power plants? An economic feasibility analysis,https://www.sciencedirect.com/science/article/pii/S0301421526001114?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,公众是否愿意承担淘汰燃煤发电厂的费用?,
Large language model-enhanced home energy management with dynamic user preference elicitation and hierarchical data-sharing,https://www.sciencedirect.com/science/article/pii/S0306261926001923?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,"采用大型语言模式,加强家庭能源管理,动态用户偏好吸引用户,分等级分享数据",
Heterogeneous multi-agent proximal policy optimization based control of solid oxide electrolysis and wind turbine generator for fast frequency response,https://www.sciencedirect.com/science/article/pii/S0306261926001571?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,基于控制固体氧化氧化物电解和风涡轮发电机的快速频率反应的多不同多剂多试剂最佳政策优化政策,
"Drivers, barriers and interventions for green hydrogen supply chains: A multi-actor framework",https://www.sciencedirect.com/science/article/pii/S0301421526000947?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,绿色氢供应链的驱动力、障碍和干预措施:多行为体框架,
"Modeling Germany’s hydrogen future: Insights into spatial distribution, imports, and policy alignment",https://www.sciencedirect.com/science/article/pii/S0306261926001601?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,模拟德国氢的未来:对空间分布、进口和政策协调的深入了解,
SolarFM: Spatio-temporal solar irradiance forecasting based on time series foundation model,https://www.sciencedirect.com/science/article/pii/S0306261926001844?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,太阳日光波:根据时间序列基础模型进行的时际太阳辐照预报,
Enhancing grid balancing services from electric vehicle aggregators under uncertainty: A probability-guaranteed feasible region approach,https://www.sciencedirect.com/science/article/pii/S0306261926001704?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,在不确定情况下加强电动车辆隔离装置的电网平衡服务:概率保证可行的区域办法,
Adaptive multi-stage planning of electric vehicle charging infrastructure with photovoltaic and energy storage systems: a transportation-aware optimization approach,https://www.sciencedirect.com/science/article/pii/S0306261926001698?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,电动车辆充电基础设施采用光光伏和能源储存系统的适应性多阶段规划:运输意识优化办法,
Toward a new spatial paradigm of electricity–computing synergy under renewable energy endowments and geographical environmental constraints,https://www.sciencedirect.com/science/article/pii/S0306261926001479?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,"在可再生能源天赋和地理环境制约下实现新的电力空间范式,在可再生能源和地理环境制约下实现协同效应",
Breaking the external pressure-dependent paradigm in all-solid-state batteries,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag112/8483884?rss=1,National Science Review Advance Access,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,10.1093/nsr/nwag112/8483884,,,0,,打破所有固体电池依赖外部压力的模式,
Adaptive confidence-calibrated semi-supervised ensemble for early-cycle battery lifetime prediction,https://www.sciencedirect.com/science/article/pii/S0306261926001674?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,用于早期周期电池电池寿命预测的适应性信心校准半监督的半监督联合体,
Bimodal iontronic skins powered by edge intelligence for real-time collaborative interaction,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag111/8483908?rss=1,National Science Review Advance Access,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,10.1093/nsr/nwag111/8483908,"Real-time sensing and processing of large-scale tactile information are crucial for enhancing the compliant interaction of embodied robots, especially in collaborative systems. However, existing robotic skin systems are limited by latency in high-throughput signal readout and intelligent reasoning, making robust real-time interaction challenging. Here, we present a flexible bimodal skin powered by edge intelligence, enabling real-time sensory perception, decision-making, and actuation based on large-area coverage. The modular bimodal skin integrates pressure and temperature sensors, providing full coverage on robotic arm with over 768 pressure and 75 temperature sensor units. A rapid, crosstalk-free readout interface is implemented using a frequency-encoding architecture. Furthermore, we develop a lightweight deep learning framework that enables real-time autonomous decision-making for the bimodal skin at the edge device. We demonstrate that our system facilitates smooth, adaptive interaction for individuals with mobility impairments, even under complex or emergency conditions. This technology opens a promising avenue for real-time perception and interaction in human-centered embodied robotics.",rss_oup,0,,利用边缘智能动力进行实时协作互动的双现代电离层皮肤,"实时感测和处理大规模触觉信息对于加强装有机器人的兼容性互动至关重要,特别是在协作系统中,但是,现有的机器人皮肤系统由于高通量信号读取和智能推理的隐蔽性而受到限制,使得强有力的实时互动具有挑战性。这里我们展示了一种灵活的双向皮肤,由边缘智能驱动,能够实时感知感知、决策和基于大面积覆盖的激活。模块双向皮肤结合压力和温度传感器,为768多个压力和75个温度感应器的机器人臂提供全面覆盖。我们用一个频率编码结构实施了快速、互连式的读取界面。此外,我们还做了以下工作:"
"A novel biomacromolecule-predominated hybrid unit: from design, characterization to application",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag099/8483900?rss=1,National Science Review Advance Access,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,10.1093/nsr/nwag099/8483900,"Current biomaterial designs struggle with complex clinical and life science demands as single-function approaches are increasingly inadequate, necessitating the systematic integration of four core elements: biosafety, physiological compatibility, biomechanical matching, and biocatalytic function across hierarchical levels. This study addresses this challenge by introducing a novel strategy using natural biomacromolecules to construct microscopic organic-inorganic hybrid units. A comprehensive characterization paradigm employing synchrotron SAXS, IR-AFM and high-resolution TEM was established to reveal emergent hybrid properties. Systematic characterization results demonstrate that the physicochemical properties of these hybrid units more closely resemble polymers than traditional nanomaterials. We introduced the classical polymer blob model to reveal the effects of the hybridization process on the rigidity/flexibility of the polymer chains. Combined characterization results confirmed that the hybrid units possess stable interfaces, bioinspired crosslinking, synergistic high enzyme-like activity with low toxicity, and broad pH tolerance. Multifunctional nanohybrid hydrogel fabricated with these hybrid units significantly enhances mammalian cell synthesis of high-quality PD-L1 protein with efficiency improved by nearly an order of magnitude and effectively protects skin organoids from damage caused by exogenous ROS. Integrated multi-omics analysis demonstrates the hydrogel modulates cell–cell/matrix interactions via",rss_oup,0,,一个新的生物微生物分子源前以主的混合单元:从设计、定性到应用,"作为单一功能方法,目前与复杂的临床和生命科学需求进行复杂的临床和生命科学需求之间的生物材料设计斗争日益不足,这就需要系统地整合四个核心要素:生物安全、生理兼容性、生物机械匹配和跨等级的生物催化功能。本研究通过采用新颖的战略,利用自然生物基因细胞来建造微型有机有机有机混合装置来应对这一挑战。建立了使用同步器SAXS、IR-AFM和高分辨率TEM的全面特征模型,以揭示突发混合特性。系统特征结果显示,这些混合装置的物理化学特性比传统纳米光学器更接近聚合物。"
High thermal conductivity in metallic θ-TaN single crystals,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag106/8483893?rss=1,National Science Review Advance Access,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,10.1093/nsr/nwag106/8483893,"Metallic materials are critical in integrated circuits as they not only deliver power but also dissipate heat. However, their performance is constrained as metals’ thermal conductivity is capped with a value of about 400 W m-1 K-1. Here, we shatter this long-standing ceiling by high-pressure synthesis of the metallic hexagonal tantalum mononitride (θ",rss_oup,0,,金属-TAN单晶体中高热导热性,"金属材料在集成电路中至关重要,因为金属材料不仅能提供动力,而且能散热。然而,由于金属的热传导率上限为400 WM-1 K-1,金属的性能受到限制。 在这里,我们用金属六边钽单硝化物的高压合成粉碎了这一长期存在的上限。"
